Label,Species,Infected_Status,Risk,ID,Phys_Growth_rate_mean_mm_per_year,Phys_Growth_form,Phys_Repo,Phys_Life_history,days_to_infection,perc_lost_hour,Bac_nautella_italica,Bac_thalassobius_mediterraneus,Bac_pseudoalteromonas_sp,Bac_arthrobacter_ramosus,Bac_pseudomonas_veronii,Bac_endozoicomonas_sp,AntOx_RED660,AntOx_Catalase,AntOx_Prophenyloxidase,AntOx_POX,AntBac_Vibrio_gentimepermgprot,Q95029,Q3SZQ6,Q5ZL16,Q80W94,C9JTQ0,Q8N6G6,P34897,Q28HC7,Q5JU00,Q08CD5,P21670,Q1LU86,Q96P65,B0G143,Q6IND7,Q5ZJA9,Q5R5D8,Q7Z494,A3KP77,Q9JLI8,P11029,A7SE05,Q04336,Q5S1U6,Q5JVL4,Q9BV90,O16025,Q2HJ56,Q8K3Z0,Q91447,Q460N5,Q9CZB9,P38024,Q9SY73,Q9R080,Q6DG99,Q0EEE2,O73792,Q9NXG6,P61357,Q3KQ77,Q01890,K0E4E1,A7SDW5,Q9NQX0,Q5ZID0,A7SFB5,O73874,C3YWU0,Q99578
Past_117,Past,Control,0.1,117,3.721,massive,brooder,weedy,0,0,1.815259525,0.673449648,0.609450113,0.171635115,0.004363605,0.658904299,0.167938931,9.462171451,3.400358852,0.021952241,10.19,7.84788697,11.851183,5.714836589,3.88839866,6.664656502,6.715685079,8.231254833,8.003739018,5.081237792,4.097930836,9.215969859,7.346049196,2.690358216,5.482559384,6.653149405,7.812054481,5.842586254,8.402100779,7.131854508,6.563136934,7.224437848,7.085362048,7.523263178,8.182085195,4.19932506,7.333848662,8.444864556,6.890912179,4.636233727,5.751750822,4.487855336,7.191004248,9.755444702,8.38021224,6.527445285,8.091526596,5.514507248,5.599393117,5.812971445,11.60909183,7.453251629,6.760375874,1.053622335,7.663220782,4.246671693,6.156547438,6.017988887,4.167381587,5.504853108,5.527803767
Past_118,Past,Exposed,0.15,118,3.721,massive,brooder,weedy,0,0,4.503762063,2.651986518,0.54391271,0.084059237,0.008241102,0.518365295,0.229961832,10.94104472,2.666346364,0,5.8,5.866101094,12.63049012,5.131225398,5.858879292,7.342560009,4.870568713,8.060824217,7.769899156,7.483089993,5.280108307,9.890625965,5.311703254,5.103738568,5.03225524,7.684600028,6.301706362,6.867949885,8.060722303,6.719379331,7.087607277,5.847102858,7.591690967,6.866278543,10.05973441,4.486518203,6.117263136,10.56922866,6.203247694,4.631607575,5.073313352,3.226016271,7.562920912,9.308851305,6.746144725,3.080132759,7.91512636,6.182046049,3.820022301,3.624458264,12.26618409,6.920165634,8.329097092,2.289123151,7.312035613,5.657062173,6.223228049,6.065421955,4.570026594,5.148916313,4.682555177
Ppor_119,Ppor,Control,0.1,119,21.26,branching_closed,brooder,weedy,0,0,1.671109864,0.818015996,0.378841027,0.378841027,0.004209345,0.200645433,0.530534351,6.926445649,1.006929193,3.560621954,4.3,8.694539431,12.15866738,6.456954695,3.150879487,5.737150959,5.220359425,8.267962264,7.670754659,6.105892475,6.808646314,8.090779571,5.384401319,5.169179649,7.023348836,6.568247506,6.463662995,5.164210244,6.686481281,6.692443304,7.942406856,6.29754605,8.027521073,7.746939145,7.826210035,8.288681481,6.430317785,6.509598417,5.141144982,6.948155485,7.178076684,7.088728732,7.579701564,7.644404764,6.533521345,7.088682442,6.787313215,9.940172655,5.472947203,4.809591138,11.48958524,8.920691346,8.119317017,5.534050533,7.434604428,5.571723719,8.47141471,5.677840808,3.587961874,8.472029823,7.148007273
Ppor_120,Ppor,Infected,0.2,120,21.26,branching_closed,brooder,weedy,6,1.25,0.166303702,0.1214281,0.187421633,0.447436151,0.001319871,0.176862667,0.46851145,3.321074433,0.848150927,0.118032418,1.03,4.764643836,11.869255,6.570288102,3.211263281,5.285303634,4.167936543,7.690090161,8.034228565,5.682758907,7.214434004,8.283777728,5.181119062,4.451680097,4.831171507,6.662390795,6.951045568,6.547914488,7.802959609,6.496905364,5.563470319,4.371007937,5.738069369,3.470449643,9.461478925,3.731349608,6.947074532,7.446333792,5.726442379,7.346707285,6.222549105,7.276890402,7.728146573,8.12428159,6.303779061,6.91640007,-0.304207769,8.053108595,5.238977408,5.103058622,11.80424547,9.293927706,1.837084531,6.874523907,2.430240584,0.285008594,9.326128964,-0.717202163,3.425067253,8.57518732,7.565960443
Ppor_121,Ppor,Control,0.1,121,21.26,branching_closed,brooder,weedy,0,0,1.125309937,2.290233131,0.120306929,0.526709605,0.002934315,0.234745228,0.654580153,4.501198178,0.894506675,0.055194207,0.73,7.796218508,12.04220169,6.755233251,3.976686774,5.803092773,4.600625129,8.641284028,7.701481044,7.008347075,7.469716001,8.616501483,5.659899192,5.405018369,-0.558685301,7.826758084,6.682767273,5.045193537,5.951487204,6.753324537,4.822553653,0.477762167,-0.100186549,-0.597579672,8.886395643,-0.501481909,6.792084149,5.794003987,6.56572982,6.245480411,5.954107127,-1.040342052,7.603040184,8.907971279,5.977197614,5.786979711,-0.950104215,0.025274236,6.363621487,4.866307788,11.61586637,9.404864561,-0.580098959,6.264099709,-0.211421795,5.720996075,8.499202497,5.763629928,4.1544316,8.727456069,7.837255256
Ppor_122,Ppor,Exposed,0.15,122,21.26,branching_closed,brooder,weedy,0,0,4.044765495,3.425097151,2.825267531,0.156375815,0.004667935,0.204222147,0.344465649,6.727490321,1.455343345,0.454855305,2.77,7.1298174,12.51322433,7.168317035,3.999519262,5.45047737,5.237523193,7.364909076,7.367103813,5.653171601,6.917600742,8.356941893,4.734192174,5.441869838,3.485200323,6.115474729,6.459494134,5.76219711,5.905212051,6.173477937,4.356116604,-0.32606817,0.603507193,-0.624723668,10.45332661,-0.526640251,6.348071913,7.55596864,5.768930518,6.045168681,5.508394977,5.666454995,8.130969482,8.038995246,5.68189486,5.375159142,-0.978316968,5.921676897,10.1223746,5.184030374,11.77681395,9.014149094,-0.604640725,6.686354659,-0.235640964,5.264585142,9.580195387,5.500605466,4.662534712,7.73334172,8.212721721
Ppor_123,Ppor,Control,0.1,123,21.26,branching_closed,brooder,weedy,0,0,0.08271562,0.00954411,0.00636274,3.69038908,0.03817644,0.24814685,0.291984733,4.648626715,1.698899209,0.700749977,4.11,8.735159611,12.60259306,5.480434932,5.378024124,4.934313833,4.430681157,7.760754369,6.695265394,3.959052205,6.660912776,8.657785931,2.943554598,5.874482644,7.574813723,6.604715461,5.722408048,3.632523296,6.163779784,5.445877751,6.513961751,7.49275318,8.291174245,8.069799195,7.951943197,8.601796441,5.994992906,6.700231254,4.764589426,2.752623236,6.85989343,3.567337007,7.106083403,8.661650121,5.433014743,3.706267411,6.883808375,10.63561381,5.748542275,3.933217815,11.89108244,8.458578275,8.865355095,5.94401192,7.871336548,5.968549809,9.399284351,-0.2549697,3.758268771,8.79794484,7.08447667
Ppor_124,Ppor,Exposed,0.15,124,21.26,branching_closed,brooder,weedy,0,0,2.667203278,1.72252305,0.08268696,0.130250256,0.004390458,0.188057954,0.187022901,5.841442579,2.511654135,1.636113985,11.09,6.517463436,12.66216099,5.349760263,3.844845546,3.480684273,3.997619899,6.187913024,7.186499314,5.104272561,5.882597803,8.524643819,2.947840626,3.586709145,7.283002154,5.189108673,5.668344935,5.63772242,1.170706393,5.14380906,7.2903599,6.470727192,7.663831044,6.792512822,9.698431707,7.34894772,4.76081402,7.158824864,2.206949559,1.690510778,5.993560176,2.661537447,7.633083443,7.7739112,2.928626468,2.633610356,6.962392162,10.05208053,10.16363303,3.655375907,12.22942686,8.663036674,8.839077402,7.635272364,7.365382537,-0.538563078,9.681257452,-0.252324126,4.904530592,6.965661156,7.134449112
Ppor_125,Ppor,Control,0.1,125,21.26,branching_closed,brooder,weedy,0,0,0.079359081,0.086917089,0.022674023,2.800241856,0,0.143602146,0.291984733,3.514815321,1.698899209,0.138887383,3.15,9.096939713,12.57735373,4.195821095,3.557930345,4.075466737,6.563650068,7.064066018,8.23347027,4.150900684,8.168916315,7.963434521,3.981982698,3.707923161,5.741377991,6.024479868,4.375354541,3.974544243,4.044898416,4.399361531,6.656380902,6.638801511,7.637354536,7.120700139,8.616905586,8.657411723,7.694473841,4.36675352,5.752122898,3.809270727,6.039493776,3.691379588,4.741741165,5.334736499,4.254571412,4.211902194,6.97482128,11.28669758,4.14904162,3.66100074,12.00124241,9.381017849,4.000803814,3.823921241,8.107065193,3.748711559,8.057871875,3.974749751,7.062072506,9.019007663,8.651850485
Ppor_126,Ppor,Exposed,0.15,126,21.26,branching_closed,brooder,weedy,0,0,4.719002284,3.128502717,0.117762234,0.363218456,0.009931755,0.231268001,1.050572519,2.079787004,0.528533869,0.185985928,0.34,8.085404757,12.38450269,6.917957194,1.950435231,6.052721837,4.438459908,7.824806897,7.377847914,6.182137327,6.939512276,8.064954226,4.957381281,5.798488923,7.212964736,7.207598799,6.374878601,4.775319591,6.4927089,6.562230761,7.66298642,6.738642571,8.159334685,8.070092046,7.894502126,8.690322919,6.49166834,6.718228629,6.867499374,6.80346588,6.902203719,6.670864852,7.355589558,8.03812979,5.652883363,6.695821973,7.161576503,10.2199017,7.284314171,3.934129527,11.69094969,8.524146198,8.460156423,4.914545211,7.849167509,4.864762065,8.804686653,6.122824734,5.982992666,8.369891965,8.769156984
